testing_model_structure,testing_model_type,testing_model_augmentation,testing_model_idx,D_attack_type,D_attack_direction,D_generating_model,D_idx,acc,loss
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,0,0.6611999869346619,2.1146469116210938
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,1,0.4135000109672546,2.980586051940918
ResNet20v1,ff,cw,0,pgd,untargeted,vgg13,4,0.652999997138977,1.8742605447769165
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,2,0.607699990272522,2.165196657180786
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,0,0.4251999855041504,2.999812602996826
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,1,0.6262000203132629,2.223799705505371
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,2,0.3752999901771545,3.233914375305176
ResNet20v1,ff,cw,0,pgd,untargeted,vgg11,4,0.6001999974250793,1.979703068733216
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg11,1,0.4207000136375427,2.59403133392334
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg19,2,0.4178999960422516,3.050191879272461
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg13,4,0.4501999914646148,2.8357090950012207
ResNet20v1,ff,cw,0,pgd,untargeted,vgg19,4,0.6858000159263611,1.8178777694702148
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg13,1,0.4733999967575073,2.736592531204224
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg13,2,0.4494000077247619,2.894279956817627
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg19,4,0.4444000124931335,2.948794364929199
ResNet20v1,ff,cw,0,pgd,untargeted,vgg11,2,0.5946999788284302,2.0036966800689697
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg11,2,0.3946999907493591,2.636579990386963
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,4,0.4144999980926513,2.998264789581299
ResNet20v1,ff,cw,0,pgd,untargeted,vgg13,0,0.6485000252723694,1.931964993476868
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg11,4,0.3961000144481659,2.6745681762695312
ResNet20v1,ff,cw,0,pgd,untargeted,vgg13,2,0.6717000007629395,1.8664917945861816
ResNet20v1,ff,cw,0,pgd,untargeted,vgg11,1,0.6154000163078308,1.9475775957107544
ResNet20v1,ff,cw,0,pgd,untargeted,vgg19,1,0.6434000134468079,2.010283946990967
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg13,0,0.4323000013828277,2.9444003105163574
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,4,0.6559000015258789,2.1911873817443848
ResNet20v1,ff,cw,0,pgd,untargeted,vgg19,0,0.649399995803833,1.9273306131362915
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg11,0,0.3964000046253204,2.581982374191284
ResNet20v1,ff,cw,0,original,original,original,0,0.7099999785423279,1.3412822484970093
ResNet20v1,ff,cw,1,cwl2,untargeted,ResNet56v1,1,0.0732999965548515,10.549752235412598
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,1,0.0474000014364719,6.011250972747803
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v2,2,0.0592000000178813,5.35526704788208
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v2,2,0.0856000036001205,4.975357532501221
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v2,3,0.2433000057935714,3.562539339065552
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,0,0.0636999979615211,5.69308614730835
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v2,1,0.1661999970674514,4.171547889709473
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v2,1,0.0758000016212463,5.07819938659668
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,6,0.046399999409914,5.762579917907715
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,5,0.1807000041007995,4.098130702972412
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v2,3,0.0763999968767166,5.7604594230651855
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v2,2,0.1642999947071075,4.185507774353027
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v1,3,0.0298999994993209,7.187629699707031
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v2,3,0.0274999998509883,6.673530578613281
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v2,3,0.1615000069141388,4.093073844909668
