model,dataset,accuracy
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8344
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8428
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7883
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.9003
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8005
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8124
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.806
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8472
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8612
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8096
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8253
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8292
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8343
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7912
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.797
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7757
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7928
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8269
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8343
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8059
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.818
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.813
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.81
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8219
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.827
resnet20v1_original_tuned-once-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8955
resnet20v1_original_tuned-once-on_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8894
resnet20v1_original_tuned-once-on_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8941
resnet20v1_original_tuned-once-on_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8902
resnet20v1_original_tuned-once-on_original_ver4,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8858
resnet20v1_original_tuned-once-on_original_ver5,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8839
resnet20v1_original_tuned-once-on_original_ver6,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8897
resnet20v1_original_tuned-once-on_original_ver7,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.889
resnet20v1_original_tuned-thrice-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8826
resnet20v1_original_tuned-twice-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8835
resnet20v1_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7839
resnet20v1_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8169
resnet20v1_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8102
resnet20v1_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8243
resnet20v1_original_ver4,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8104
resnet20v1_original_ver5,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8278
resnet20v1_original_ver6,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8104
resnet20v1_original_ver7,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7768
resnet20v2_original_tuned-once-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8956
resnet20v2_original_tuned-once-on_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8924
resnet20v2_original_tuned-once-on_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8972
resnet20v2_original_tuned-once-on_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8941
resnet20v2_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7642
resnet20v2_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7555
resnet20v2_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7664
resnet20v2_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.771
resnet56v1_original_tuned-once-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8671
resnet56v1_original_tuned-once-on_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.893
resnet56v1_original_tuned-once-on_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8888
resnet56v1_original_tuned-once-on_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.896
resnet56v1_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.0893
resnet56v1_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8025
resnet56v1_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8107
resnet56v1_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7969
resnet56v2_original_tuned-once-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.9061
resnet56v2_original_tuned-once-on_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.9052
resnet56v2_original_tuned-once-on_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8937
resnet56v2_original_tuned-once-on_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.9044
resnet56v2_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7659
resnet56v2_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7919
resnet56v2_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7454
resnet56v2_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7727
vgg11_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7786
vgg13_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8511
vgg16_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.849
vgg19_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8437
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8488
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8621
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8053
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8212
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9002
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8099
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8168
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8121
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8506
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8655
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8162
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8319
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8341
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8394
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.7935
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8015
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.7771
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.7973
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8282
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8318
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.819
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8384
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8325
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.834
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8362
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.847
resnet20v1_original_tuned-once-on_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.902
resnet20v1_original_tuned-once-on_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9015
resnet20v1_original_tuned-once-on_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9046
resnet20v1_original_tuned-once-on_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8993
resnet20v1_original_tuned-once-on_original_ver4,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8996
resnet20v1_original_tuned-once-on_original_ver5,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8952
resnet20v1_original_tuned-once-on_original_ver6,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9012
resnet20v1_original_tuned-once-on_original_ver7,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9021
resnet20v1_original_tuned-thrice-on_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8919
resnet20v1_original_tuned-twice-on_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8939
resnet20v1_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8158
resnet20v1_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8437
resnet20v1_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8439
resnet20v1_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8502
resnet20v1_original_ver4,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8376
resnet20v1_original_ver5,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8499
resnet20v1_original_ver6,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8352
resnet20v1_original_ver7,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8153
resnet20v2_original_tuned-once-on_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.906
resnet20v2_original_tuned-once-on_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9031
resnet20v2_original_tuned-once-on_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9058
resnet20v2_original_tuned-once-on_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9029
resnet20v2_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8055
resnet20v2_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.7906
resnet20v2_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8006
resnet20v2_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8035
resnet56v1_original_tuned-once-on_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9018
resnet56v1_original_tuned-once-on_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9057
resnet56v1_original_tuned-once-on_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9022
resnet56v1_original_tuned-once-on_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9081
resnet56v1_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8389
resnet56v1_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8314
resnet56v1_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8454
resnet56v1_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.837
resnet56v2_original_tuned-once-on_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9163
resnet56v2_original_tuned-once-on_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9136
resnet56v2_original_tuned-once-on_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9056
resnet56v2_original_tuned-once-on_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.9107
resnet56v2_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8072
resnet56v2_original_ver1,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8241
resnet56v2_original_ver2,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.7901
resnet56v2_original_ver3,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8098
vgg11_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.7855
vgg13_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8628
vgg16_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.8567
vgg19_original_ver0,cwl2-targeted-to-least-by-resnet56v1-ver0_test,0.854
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8347
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8427
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.789
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8008
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.9006
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8023
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8133
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8069
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8475
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8613
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8102
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8259
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8295
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8355
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.791
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.7984
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.776
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.7943
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8279
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.835
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8058
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8185
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8124
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8114
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8225
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8272
resnet20v1_original_tuned-once-on_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.896
resnet20v1_original_tuned-once-on_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.8905
resnet20v1_original_tuned-once-on_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.8947
resnet20v1_original_tuned-once-on_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.8904
resnet20v1_original_tuned-once-on_original_ver4,cwl2-untargeted-by-resnet56v1-ver0_test,0.8856
resnet20v1_original_tuned-once-on_original_ver5,cwl2-untargeted-by-resnet56v1-ver0_test,0.8846
resnet20v1_original_tuned-once-on_original_ver6,cwl2-untargeted-by-resnet56v1-ver0_test,0.8908
resnet20v1_original_tuned-once-on_original_ver7,cwl2-untargeted-by-resnet56v1-ver0_test,0.889
resnet20v1_original_tuned-thrice-on_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8833
resnet20v1_original_tuned-twice-on_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8847
resnet20v1_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.784
resnet20v1_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.8176
resnet20v1_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.8113
resnet20v1_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.8251
resnet20v1_original_ver4,cwl2-untargeted-by-resnet56v1-ver0_test,0.8105
